pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
"HD 65216",b,"HD 65216 b","Radial Velocity",0,2,577.6,1.328,-1.328,0,4,1.301,0.02,-0.02,0,4,0.27,0.02,-0.02,0,4,,,,,0,1.295,0.062,-0.062,0,4,Msini,,,,,0,,,,,0,0,0,0,07h53m41.32s,-63d38m50.4s,118.422173,2.0E-6,-63.647324,2.0E-6,2,35.16,0.04,-0.04,0,3,7.964,0.011,0,"V (Johnson)",7.794,,0,5612,,,0,8,0.87,,,0,6,,,,,3,0,2019-03-14,"La Silla Observatory"
"HD 65216",c,"HD 65216 c","Radial Velocity",0,2,5370,20,-20,0,2,5.75,0.09,-0.09,0,2,0.17,0.04,-0.04,0,2,,,,,0,2.03,0.11,-0.11,0,2,Msini,,,,,0,,,,,0,0,0,0,07h53m41.32s,-63d38m50.4s,118.422173,2.0E-6,-63.647324,2.0E-6,2,35.16,0.04,-0.04,0,3,7.964,0.011,0,"V (Johnson)",7.794,,0,5612,,,0,8,0.87,,,0,6,,,,,3,2,2019-03-14,"La Silla Observatory"
"HD 66141",b,"HD 66141 b","Radial Velocity",0,1,480.5,0.5,-0.5,0,1,1.2,0.1,-0.1,0,1,0.07,0.03,-0.03,0,1,,,,,0,6,0.3,-0.3,0,1,Msini,,,,,0,,,,,0,0,0,0,08h02m15.94s,+02d20m04.5s,120.566406,3.0E-6,2.334571,2.0E-6,2,68.16,2.09,-2.09,0,4,4.38,,0,"V (Johnson)",3.891,,0,4323,15,-15,0,4,1.1,0.1,-0.1,0,3,21.4,0.6,-0.6,0,3,0,2014-05-14,"Bohyunsan Optical Astronomical Observatory"
"HD 66428",b,"HD 66428 b","Radial Velocity",0,1,2263.12,6.13,-5.94,0,5,3.467,0.024,-0.024,0,4,0.493,0.015,-0.015,0,5,,,,,0,3.204,0.043,-0.043,0,5,Msini,,,,,0,,,,,0,0,0,0,08h03m28.67s,-01d09m45.8s,120.869438,3.0E-6,-1.162709,2.0E-6,2,53.36,0.22,-0.22,0,2,8.246,0.013,0,"V (Johnson)",8.081,,0,5773,23,-23,0,6,1.08,0.02,-0.02,0,7,1.1,0.06,-0.06,0,5,0,2019-06-27,"W. M. Keck Observatory"
"HD 67087",b,"HD 67087 b","Radial Velocity",0,2,352.2,1.7,-1.6,0,1,1.08,0.04,-0.04,0,1,0.17,0.07,-0.07,0,1,,,,,0,3.06,0.22,-0.2,0,1,Msini,,,,,0,,,,,0,0,0,0,08h07m39.76s,+31d33m04.7s,121.915649,3.0E-6,31.551319,2.0E-6,2,76.69,0.33,-0.33,0,2,8.05,,0,"V (Johnson)",7.922,,0,6330,47,-47,0,2,1.36,0.04,-0.04,0,1,1.55,0.32,-0.32,0,2,0,2015-04-01,"Multiple Observatories"
"HD 67087",c,"HD 67087 c","Radial Velocity",0,2,2374,193,-156,0,1,3.86,0.43,-0.37,0,1,0.76,0.17,-0.24,0,1,,,,,0,4.85,10,-3.61,0,1,Msini,,,,,0,,,,,0,0,0,0,08h07m39.76s,+31d33m04.7s,121.915649,3.0E-6,31.551319,2.0E-6,2,76.69,0.33,-0.33,0,2,8.05,,0,"V (Johnson)",7.922,,0,6330,47,-47,0,2,1.36,0.04,-0.04,0,1,1.55,0.32,-0.32,0,2,0,2015-04-01,"Multiple Observatories"
"HD 68988",b,"HD 68988 b","Radial Velocity",0,1,6.27711,0.00021,-0.00021,0,3,0.07,0,0,0,3,0.12,0.01,-0.01,0,3,,,,,0,1.97,0.1,-0.1,0,3,Msini,,,,,0,,,,,0,0,0,0,08h18m22.17s,+61d27m38.6s,124.592384,2.0E-6,61.460724,2.0E-6,2,60.95,0.19,-0.19,0,2,8.2,,0,"V (Johnson)",8.046,,0,5932,23,-23,0,4,1.28,0.09,-0.09,0,5,1.19,0.02,-0.02,0,3,0,2018-09-06,"Multiple Observatories"
"HD 69830",b,"HD 69830 b","Radial Velocity",0,3,8.667,0.003,-0.003,0,1,0.0785,,,0,1,0.1,0.04,-0.04,0,1,,,,,0,0.0321,,,0,1,Msini,,,,,0,,,,,0,0,0,0,08h18m23.95s,-12d37m55.8s,124.599777,2.0E-6,-12.632174,2.0E-6,4,12.56,0.01,-0.01,0,4,6,,0,"V (Johnson)",5.739,,0,5385,20,-20,0,8,0.86,0.03,-0.03,0,6,,,,,4,0,2015-03-26,"La Silla Observatory"
"HD 69830",c,"HD 69830 c","Radial Velocity",0,3,31.56,0.04,-0.04,0,1,0.186,,,0,1,0.13,0.06,-0.06,0,1,,,,,0,0.0371,,,0,1,Msini,,,,,0,,,,,0,0,0,0,08h18m23.95s,-12d37m55.8s,124.599777,2.0E-6,-12.632174,2.0E-6,4,12.56,0.01,-0.01,0,4,6,,0,"V (Johnson)",5.739,,0,5385,20,-20,0,8,0.86,0.03,-0.03,0,6,,,,,4,0,2015-03-26,"La Silla Observatory"
"HD 69830",d,"HD 69830 d","Radial Velocity",0,3,197,3,-3,0,1,0.63,,,0,1,0.07,0.07,-0.07,0,1,,,,,0,0.057,,,0,1,Msini,,,,,0,,,,,0,0,0,0,08h18m23.95s,-12d37m55.8s,124.599777,2.0E-6,-12.632174,2.0E-6,4,12.56,0.01,-0.01,0,4,6,,0,"V (Johnson)",5.739,,0,5385,20,-20,0,8,0.86,0.03,-0.03,0,6,,,,,4,0,2015-03-26,"La Silla Observatory"
